County,Abs_PM,Length,Latitude,Longitude
Washington,9.15,0.07,37.12,-113.55
Washington,9.16,0.04,37.12,-113.55
Washington,9.19,0.05,37.12,-113.55
Washington,9.22,0.10,37.12,-113.55
Washington,9.24,0.16,37.12,-113.55
Washington,9.31,0.21,37.12,-113.55
Washington,9.40,0.04,37.12,-113.55
Washington,9.44,0.08,37.12,-113.55
Washington,9.52,0.09,37.12,-113.54
Washington,9.53,0.12,37.12,-113.55
Washington,9.61,0.08,37.12,-113.54
Washington,9.65,0.05,37.12,-113.54
Washington,9.69,0.06,37.12,-113.54
Washington,9.70,0.09,37.12,-113.54
Washington,9.75,0.03,37.12,-113.54
Washington,9.77,0.12,37.12,-113.54
Washington,9.79,0.35,37.12,-113.54
Washington,9.89,0.05,37.12,-113.54
Washington,9.95,0.04,37.12,-113.54
Washington,9.99,0.06,37.12,-113.54
Washington,10.05,0.06,37.12,-113.53
Washington,10.11,0.05,37.12,-113.53
Washington,10.13,0.04,37.12,-113.54
Washington,10.16,0.05,37.12,-113.53
Washington,10.17,0.05,37.12,-113.53
Washington,10.21,0.04,37.12,-113.53
Washington,10.23,0.07,37.12,-113.53
Washington,10.25,0.02,37.12,-113.53
Washington,10.27,0.11,37.13,-113.53
Washington,10.30,0.02,37.12,-113.53
Washington,10.32,0.06,37.12,-113.53
Washington,10.38,0.03,37.13,-113.53
Washington,10.38,0.07,37.13,-113.53
Washington,10.40,0.11,37.13,-113.53
Washington,10.45,0.10,37.13,-113.53
Washington,10.51,0.10,37.13,-113.53
Washington,10.55,0.07,37.13,-113.53
Washington,10.61,0.05,37.13,-113.53
Washington,10.62,0.06,37.13,-113.53
Washington,10.67,0.28,37.13,-113.53
Washington,10.68,0.05,37.13,-113.53
Washington,10.72,0.07,37.13,-113.53
Washington,10.79,0.03,37.13,-113.53
Washington,10.82,0.26,37.13,-113.53
Washington,10.95,0.06,37.13,-113.52
Washington,11.01,0.02,37.13,-113.52
Washington,11.03,0.07,37.13,-113.52
Washington,11.08,0.08,37.13,-113.52
Washington,11.10,0.03,37.13,-113.52
Washington,11.13,0.03,37.13,-113.52
Washington,11.16,0.05,37.13,-113.52
Washington,11.16,0.04,37.13,-113.52
Washington,11.20,0.11,37.13,-113.52
Washington,11.21,0.03,37.13,-113.52
Washington,11.24,0.05,37.13,-113.52
Washington,11.29,0.03,37.13,-113.52
Washington,11.31,0.06,37.13,-113.52
Washington,11.33,0.06,37.13,-113.52
Washington,11.37,0.06,37.13,-113.52
Washington,11.39,0.18,37.14,-113.52
Washington,11.43,0.04,37.13,-113.52
Washington,11.47,0.02,37.13,-113.52
Washington,11.49,0.07,37.14,-113.52
Washington,11.56,0.08,37.14,-113.51
Washington,11.56,0.05,37.14,-113.51
Washington,11.61,0.06,37.14,-113.51
Washington,11.64,0.06,37.14,-113.51
Washington,11.67,0.07,37.14,-113.51
Washington,11.70,0.06,37.14,-113.51
Washington,11.74,0.02,37.14,-113.51
Washington,11.75,0.06,37.14,-113.51
Washington,11.76,0.04,37.14,-113.51
Washington,11.80,0.06,37.14,-113.51
Washington,11.81,0.04,37.14,-113.51
Washington,11.85,0.07,37.14,-113.51
Washington,11.86,0.07,37.14,-113.51
Washington,11.92,0.07,37.14,-113.51
Washington,11.92,0.07,37.14,-113.51
Washington,11.99,0.04,37.14,-113.51
Washington,11.99,0.06,37.14,-113.51
Washington,12.03,0.03,37.14,-113.51
Washington,12.05,0.06,37.14,-113.51
Washington,12.07,0.02,37.14,-113.50
Washington,12.08,0.02,37.14,-113.50
Washington,12.10,0.04,37.14,-113.50
Washington,12.11,0.05,37.14,-113.51
Washington,12.14,0.02,37.14,-113.50
Washington,12.16,0.05,37.14,-113.50
Washington,12.17,0.06,37.14,-113.51
Washington,12.21,0.05,37.14,-113.50
Washington,12.22,0.03,37.14,-113.51
Washington,12.25,0.03,37.14,-113.50
Washington,12.26,0.02,37.14,-113.50
Washington,12.28,0.05,37.14,-113.50
Washington,12.28,0.09,37.14,-113.50
Washington,12.33,0.03,37.14,-113.50
Washington,12.35,0.02,37.14,-113.50
Washington,12.37,0.03,37.14,-113.50
Washington,12.37,0.04,37.14,-113.50
Washington,12.40,0.04,37.14,-113.50
Washington,12.41,0.02,37.14,-113.50
Washington,12.43,0.08,37.14,-113.50
Washington,12.44,0.04,37.14,-113.50
Washington,12.47,0.04,37.14,-113.50
Washington,12.51,0.04,37.14,-113.50
Washington,12.51,0.06,37.14,-113.50
Washington,12.54,0.11,37.14,-113.50
Washington,12.57,0.02,37.14,-113.50
Washington,12.59,0.03,37.14,-113.50
Washington,12.62,0.03,37.14,-113.50
Washington,12.64,0.05,37.14,-113.50
Washington,12.65,0.06,37.14,-113.50
Washington,12.69,0.02,37.14,-113.49
Washington,12.72,0.05,37.14,-113.50
Washington,12.72,0.16,37.14,-113.49
Washington,12.77,0.09,37.14,-113.50
Washington,12.86,0.09,37.14,-113.49
Washington,12.88,0.10,37.15,-113.49
Washington,12.94,0.07,37.15,-113.49
Washington,12.98,0.04,37.15,-113.49
Washington,13.01,0.08,37.15,-113.49
Washington,13.01,0.04,37.15,-113.49
Washington,13.05,0.03,37.15,-113.49
Washington,13.09,0.05,37.15,-113.49
Washington,13.09,0.05,37.15,-113.49
Washington,13.14,0.08,37.15,-113.49
Washington,13.14,0.06,37.15,-113.49
Washington,13.21,0.07,37.15,-113.49
Washington,13.21,0.04,37.15,-113.49
Washington,13.26,0.08,37.15,-113.49
Washington,13.27,0.05,37.15,-113.49
Washington,13.32,0.06,37.15,-113.49
Washington,13.33,0.07,37.15,-113.48
Washington,13.38,0.06,37.15,-113.49
Washington,13.40,0.05,37.15,-113.48
Washington,13.44,0.07,37.15,-113.49
Washington,13.45,0.09,37.15,-113.48
Washington,13.51,0.04,37.15,-113.48
Washington,13.54,0.06,37.15,-113.48
Washington,13.55,0.02,37.15,-113.48
Washington,13.56,0.06,37.15,-113.48
Washington,13.60,0.04,37.15,-113.48
Washington,13.62,0.09,37.15,-113.48
Washington,13.64,0.05,37.15,-113.48
Washington,13.69,0.05,37.15,-113.48
Washington,13.71,0.07,37.15,-113.48
Washington,13.74,0.07,37.15,-113.48
Washington,13.78,0.08,37.15,-113.48
Washington,13.82,0.05,37.15,-113.48
Washington,13.86,0.07,37.15,-113.48
Washington,13.87,0.05,37.16,-113.48
Washington,13.92,0.09,37.16,-113.48
Washington,13.94,0.02,37.15,-113.48
Washington,13.95,0.12,37.15,-113.48
Washington,14.01,0.04,37.16,-113.48
Washington,14.05,0.04,37.16,-113.48
Washington,14.07,0.08,37.16,-113.48
Washington,14.09,0.04,37.16,-113.48
Washington,14.12,0.02,37.16,-113.48
Washington,14.15,0.03,37.16,-113.48
Washington,14.16,0.07,37.16,-113.48
Washington,14.18,0.05,37.16,-113.47
Washington,14.22,0.04,37.16,-113.48
Washington,14.23,0.04,37.16,-113.47
Washington,14.27,0.05,37.16,-113.48
Washington,14.27,0.04,37.16,-113.47
Washington,14.31,0.04,37.16,-113.47
Washington,14.32,0.03,37.16,-113.48
Washington,14.34,0.03,37.16,-113.47
Washington,14.34,0.07,37.16,-113.47
Washington,14.37,0.03,37.16,-113.47
Washington,14.39,0.03,37.16,-113.47
Washington,14.41,0.13,37.16,-113.47
Washington,14.42,0.07,37.16,-113.47
Washington,14.49,0.10,37.16,-113.47
Washington,14.54,0.06,37.16,-113.47
Washington,14.59,0.06,37.16,-113.47
Washington,14.60,0.04,37.16,-113.47
Washington,14.64,0.08,37.16,-113.47
Washington,14.65,0.03,37.16,-113.47
